Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization,ID_univerzita
PUV,2013-28060,25984,Zaniklý dokument,"G01W1/14, G01W1/02, G01J1/00, G01K7/00",CS: Zařízení na měření časového průběhu výšky a teplotního profilu sněhové vrstvy a teploty vzduchuEN: Apparatus to measure time behavior of height and temperature profile of snow layer and air temperature,"Česká zemědělská univerzita v Praze, Praha - Suchdol, Česká republika",3
PUV,2015-31518,28839,Zaniklý dokument,"E02B3/00, E02B15/00, E02B11/00",CS: Retenční systém pro snížení kontaminace radionuklidyEN: Reference system for reducing radionuclide contamination,"Česká zemědělská univerzita v Praze, Praha 6, Česká republika",3
PUV,2015-31518,28839,Zaniklý dokument,"E02B3/00, E02B15/00, E02B11/00",CS: Retenční systém pro snížení kontaminace radionuklidyEN: Reference system for reducing radionuclide contamination,"Jihočeská univerzita v Českých Budějovicích, České Budějovice 2, Česká republika",6
PUV,2013-28513,26609,Zaniklý dokument,"E04F13/075, E04C2/34","CS: Lehký obvodový plášť panelového typu na bázi dřevaEN: Panel type, wood-based external cladding","České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2013-28675,26328,Zaniklý dokument,A61B8/04,CS: Systém pro měření a dlouhodobé sledování krevního tlakuEN: System for measuring and long-term monitoring physical activity,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2013-28677,26256,Zaniklý dokument,"G08B21/02, A61B5/11, G01S19/42, H04W88/02",CS: Zařízení pro podporu pacientů s onemocněním sclerosis multiplexEN: Device to support patients suffering from sclerosis multiplex disease,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2013-28678,26483,Zaniklý dokument,"H04L12/28, H04L27/00, H04L29/12",CS: Systém pro šifrovanou komunikaci s mobilními biotelemetrickými jednotkami v reálném čase.EN: System for encrypted communication with mobile biotelemetric unit in real time,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2014-500,305286,Zaniklý dokument,"B25J9/00, G01L1/25, G01N23/00, G01N23/083, G01N23/20008, G01N23/20016, G01N23/20025",CS: Soustava pro měření zbytkových napětí v polykrystalických materiálech metodou rentgenové difrakceEN: System for measuring residual tension in polycrystalline materials using X-ray diffraction method,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2014-979,306895,Zaniklý dokument,"A61B5/16, A61B5/0402, A61B5/02, A61B5/01, A61B5/053, A61B5/0408, A61B5/28",CS: Biotelemetrický systém pro podporu monitorování psychofyziologického stavu člověkaEN: A biotelemetric system for the support of monitoring the psychophysiological state of a human being,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2014-29717,27369,Zaniklý dokument,F28F9/00,CS: Integrovaný izolovaný plášť výměníkuEN: Heat exchanger integrated insulated jacket,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2014-29718,27370,Zaniklý dokument,F28D1/047,CS: Vinutý výměník z tenkostěnných nerezových vlnovcových trubekEN: Coiled heat-exchange apparatus of thin-walled and stainless bellows pipes,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2014-29790,27449,Zaniklý dokument,"G01N23/20, G01N23/207, G01N23/083, G01L1/25, G01N23/20008, G01N23/20016, G01N23/20025",CS: Soustava pro měření zbytkových napětí v polykrystalických materiálech metodou rentgenové difrakceEN: System to measure residual voltages in polycrystalline materials by making use of X-ray diffraction method,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2015-7,305779,Zaniklý dokument,"G01N23/20, G01N23/207, G21K1/06, G01N23/20008, G01N23/20016, G01N23/20025","CS: Soustava pro měření mřížkového parametru zejména na monokrystalických vzorcích a polykrystalických materiálechEN: System to measure lattice parameter, especially on single crystal samples and polycrystalline materials","České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2015-363,306613,Platný dokument,"F16F7/00, E01F15/00","CS: Vnitřní struktura deformačního bloku, zejména stavebního prvku dopravních sjezdůEN: The internal structure of the deformation block, especially of a construction element of slip roads","České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2015-591,306663,Platný dokument,"C04B14/04, C04B28/04, C04B24/18, C04B24/30, C04B24/32, C04B14/38, C04B16/06",CS: Suchá prefabrikovaná směs multifunkčního silikátového kompozituEN: A dry prefabricated mixture of a multifunctional silicate composite,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2015-30614,27974,Platný dokument,"E01D2/00, E01D19/00, E01D101/30, E01D21/00",CS: Železobetonový rám s optimalizovaným statickým působenímEN: Reinforced concrete frame with optimized static action,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2015-31282,28616,Platný dokument,"F16F7/00, E01F15/14","CS: Vnitřní struktura deformačního bloku, deformační blok a deformační soustavaEN: Deformation block internal structure, deformation block and deformation system","České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2015-31471,30170,Platný dokument,"C04B28/04, C04B14/04, C04B18/08, C04B22/10",CS: Suchá prefabrikovaná směs multifunkčního silikátového kompozituEN: Dry prefabricated mixture of multifunctional silicate composite,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2017-33,307462,Platný dokument,"C04B7/02, C04B14/48, C04B28/04",CS: Způsob homogenizace vysokohodnotného nebo ultra-vysokohodnotného betonuEN: A method of homogenization of high-value or ultra-high-value concrete,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2017-130,307338,Zaniklý dokument,"E01C11/22, E01F5/00",CS: Příkopová tvarovka z recyklovaného plastuEN: A trench block made of recycled plastic,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2018-542,308302,Platný dokument,"E04C5/12, E04C5/07, E04G23/02",CS: Přípravek pro předepnutí a kotvení kompozitních pásů a/nebo lamel ve zdivuEN: Tool for pre-stressing and anchoring composite strips and / or slats in masonry,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2018-601,308304,Platný dokument,"E04C5/07, E04C5/12, E04G23/02",CS: Přípravek pro spřažení základových konstrukcí stavebEN: Jig for coupling foundation structures of buildings,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2018-608,308319,Platný dokument,"E04G23/02, E04B1/32, E04B1/98",CS: Zařízení pro zabezpečení zděných valených klenebEN: Equipment for securing masonry barrel vaults,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-34901,32089,Platný dokument,"A47C17/86, A47C17/00, A47C3/00",CS: Područka/opěrka pro sedací a lehací nábytekEN: An armrest/rest for seating and lying furniture,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-35412,32496,Platný dokument,"F26B17/10, F26B21/02",CS: Rozprašovací sušárnaEN: Spray dryer,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-35441,32376,Platný dokument,G01N23/223,CS: Rentgenfluorescenční skenovací analyzátorEN: An X-ray fluorescence scanning analyzer,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2019-179,308333,Platný dokument,"E01F13/02, F41H11/08",CS: Mobilní zábrana pro zpomalení a/nebo zastavení a/nebo zamezení vjezdu vozidlaEN: Mobile barrier for slowing and / or stopping and / or preventing vehicle entry,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2019-543,308514,Zaniklý dokument,"G01N27/04, G01N27/00, G01R1/067, G01N27/02",CS: Zařízení pro měření elektrických parametrů vodivé textilieEN: Equipment for measuring the electrical parameters of conductive textiles,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2019-36045,32875,Platný dokument,"E01F13/02, F41H11/08",CS: Mobilní zábrana pro zpomalení a/nebo zastavení a/nebo zamezení vjezdu vozidlaEN: Mobile barrier for slowing and / or stopping and / or preventing vehicle entry,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2022-40143,36317,Platný dokument,"G16H50/30, A61B5/0205",CS: Monitorovací systém pro sledování zdravotního stavu pacientaEN: Monitoring system for monitoring the health of the patient,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-34901,32089,Platný dokument,"A47C17/86, A47C17/00, A47C3/00",CS: Područka/opěrka pro sedací a lehací nábytekEN: An armrest/rest for seating and lying furniture,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-35412,32496,Platný dokument,"F26B17/10, F26B21/02",CS: Rozprašovací sušárnaEN: Spray dryer,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2018-35441,32376,Platný dokument,G01N23/223,CS: Rentgenfluorescenční skenovací analyzátorEN: An X-ray fluorescence scanning analyzer,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2019-179,308333,Platný dokument,"E01F13/02, F41H11/08",CS: Mobilní zábrana pro zpomalení a/nebo zastavení a/nebo zamezení vjezdu vozidlaEN: Mobile barrier for slowing and / or stopping and / or preventing vehicle entry,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2019-543,308514,Zaniklý dokument,"G01N27/04, G01N27/00, G01R1/067, G01N27/02",CS: Zařízení pro měření elektrických parametrů vodivé textilieEN: Equipment for measuring the electrical parameters of conductive textiles,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2019-36045,32875,Platný dokument,"E01F13/02, F41H11/08",CS: Mobilní zábrana pro zpomalení a/nebo zastavení a/nebo zamezení vjezdu vozidlaEN: Mobile barrier for slowing and / or stopping and / or preventing vehicle entry,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PUV,2022-40143,36317,Platný dokument,"G16H50/30, A61B5/0205",CS: Monitorovací systém pro sledování zdravotního stavu pacientaEN: Monitoring system for monitoring the health of the patient,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika",4
PV,2013-993,304972,Zaniklý dokument,"A61B18/04, A61B18/14","CS: Laparoskopický radiofrekvenční operační nástroj, zejména pro jaterní resekceEN: Laparoscopic radio frequency surgical instrument, particularly for liver resections","Ing. Petr Gross s.r.o., Milotice nad Bečvou, Česká republikaOstravská univerzita v Ostravě, Ostrava, Česká republika",9
PV,2015-291,305926,Zaniklý dokument,"C02F3/32, C02F1/30, C02F11/02, E02B1/00",CS: Způsob zlepšení kvality stojatých vod venkovních vodních nádrží a zařízení k provádění tohoto způsobuEN: Method of enhancing quality of standing water of outdoor water storage reservoirs and device for making the same,"Jihočeská univerzita v Českých Budějovicích, České Budějovice, Česká republika",6
PV,2015-293,305945,Zaniklý dokument,"C02F3/32, E02B1/02, C02F1/30, C02F11/02",CS: Zařízení pro zlepšení kvality stojatých vod venkovních vodních nádržíEN: Device for enhancing quality of standing water of outdoor water storage reservoirs,"Jihočeská univerzita v Českých Budějovicích, České Budějovice, Česká republika",6
PV,2015-730,306218,Zaniklý dokument,"A01K61/00, A01K61/17",CS: Způsob eliminace lepivosti jiker rybEN: Method of eliminating adhesive capacity of fish roe,"Jihočeská univerzita v Českých Budějovicích, České Budějovice, Česká republika",6
PUV,2016-32567,29711,Zaniklý dokument,A23L17/00,CS: Sterilovaný výrobek z rybího masaEN: Sterilized article of fish meat,"Jihočeská univerzita v Českých Budějovicích, České Budějovice, Česká republika",6
PV,2014-294,305212,Zaniklý dokument,"C02F1/00, A61B5/0205, A61B5/00, G01N33/18, G06T1/00",CS: Způsob etologického sledování korýšů a/nebo měkkýšů a etologický systém pro sledování chování korýšů a/nebo měkkýšůEN: Method of behavioral monitoring of crawfishes and/or mollusks and behavioral system for monitoring behavior of crawfishes and/or mollusks,"Jihočeská univerzita v Českých Budějovicích, Fakulta rybářství a ochrany vod, Jihočeské výzkumné centrum akvakultury a biodiverzity hydrocenóz, Výzkumný ústav rybářský a hydrobiologický, Vodňany, Česká republika",6
PUV,2013-28937,27013,Zaniklý dokument,"G01B11/06, G01B11/00, G01N21/00",CS: Zařízení pro měření tloušťky polovodičových vrstevnatých struktur SOIEN: Apparatus to measure thickness of SOI semiconductor layered structures,"Masarykova univerzita, Brno, Česká republika",7
PUV,2014-29146,26602,Zaniklý dokument,H01L21/66,CS: Zařízení pro měření rekombinačních procesů v epitaxních vrstvách křemíkuEN: Apparatus for measuring recombinant processes in silicon epitaxial layers,"Masarykova univerzita, Brno, Česká republika",7
PUV,2014-29498,27510,Zaniklý dokument,"G01J3/00, H03M1/00, H03M1/08, H03M1/06, H03F1/26, H03F1/00",CS: Uspořádání dvouparametrického spektrometrického systémuEN: Arrangement of two-parameter spectrometric system,"Masarykova univerzita, Brno, Česká republika",7
PUV,2014-29984,28135,Zaniklý dokument,"H05H1/24, H05H1/26, H05H1/28",CS: Zařízení pro plazmovou úpravu substrátů v povrchovém bariérovém výbojiEN: Device for plasma treatment of substrates in surface barrier discharge,"Masarykova univerzita, Brno, Česká republika",7
PUV,2014-30534,28043,Zaniklý dokument,"G01J3/00, H03M1/00, H03M1/06",CS: Uspořádání vícecestného dvouparametrického spektrometrického systémuEN: Arrangement of multiway two-parameter spectrometric system,"Masarykova univerzita, Brno, Česká republika",7
PV,2015-310,306119,Zaniklý dokument,H05H1/48,"CS: Způsob generování nízkoteplotního plazmatu, způsob plazmové úpravy tekutin, práškových materiálů i pevných látek tímto nízkoteplotním plazmatem a zařízení k provádění těchto způsobůEN: Method of generating low-temperature plasma, plasma treatment process of fluids, powder materials and solid substances by making use of such low-temperature plasma and apparatus for making the same","Masarykova univerzita, Brno, Česká republika",7
PUV,2015-31129,28677,Platný dokument,"D06M10/02, D21H25/04, B29C59/14, H05H1/24","CS: Zařízení pro povrchovou plazmovou úpravu materiálu ze skupiny fólie, papír, textilie, netkaná textilieEN: Device for plasma surface treatment of material being selected from the group comprising film, paper, fabric, non-woven fabric","Masarykova univerzita, Brno, Česká republika",7
PV,2016-732,307072,Platný dokument,"C01B32/182, C01B32/184, C01B32/19, C01B32/194, C01B32/198",CS: Způsob přípravy grafenoidů a grafenoid připravitelný tímto způsobemEN: A method of preparing graphenoids and a graphhenoid obtainable by this method,"Masarykova univerzita, Brno, Česká republika",7
PUV,2019-35950,32958,Zaniklý dokument,"A23L19/00, A23L25/00, A23L33/125, A23L33/21",CS: Potravinářský výrobek z výlisků ovoce a pokrutin ořechůEN: Fruit and nut cake food product,"Mendelova univerzita v Brně, Brno, Černá Pole, Česká republika",7
PUV,2019-35950,32958,Zaniklý dokument,"A23L19/00, A23L25/00, A23L33/125, A23L33/21",CS: Potravinářský výrobek z výlisků ovoce a pokrutin ořechůEN: Fruit and nut cake food product,"Mendelova univerzita v Brně, Brno, Černá Pole, Česká republika",7
PV,2014-922,306076,Zaniklý dokument,"F16L27/093, E05D7/00, E05D3/02",CS: Plnoprůtočný pant pro průtočné spojení dvou součástíEN: Full-flow hinge for through-flow connection of two components,"Mendelova univerzita v Brně, Brno, Česká republika",7
PV,2015-302,306037,Zaniklý dokument,"C01G3/00, C22B3/06",CS: Způsob výroby dihydrátu siřičitanu měďnato-měďnéhoEN: Process for preparing cupric-cuprous sulfite dihydrate,"Mendelova univerzita v Brně, Brno, Česká republika",7
PUV,2014-29312,27508,Zaniklý dokument,"C12G1/00, C12G3/00, A23L2/00, C12G3/055, C12G3/07, A23L2/02","CS: Mošt, víno nebo nápoj na bázi vína se zvýšeným obsahem přírodních lignanůEN: Must, wine or beverage based on wine with increased content of natural ligands","Mendelova univerzita v Brně, Zahradnická fakulta, Ústav posklizňové technologie zahradnických produktů, Lednice, Česká republikaVýzkumný ústav potravinářský Praha, v.v.i., Praha 10- Hostivař, Česká republikaCentrum výzkumu globální změny AV ČR, v.v.i., Brno, Česká republika",7
PUV,2015-31252,28995,Zaniklý dokument,A23B7/148,CS: Prostředí skladovacího prostoru pro skladování plodů asijských hrušníEN: Storage space environment for storing fruits of Asian pear trees,"Mendelova univerzita v Brně, Zahradnická fakulta,Ústav posklizňové technologie zahradnických produktů, Lednice, Česká republika",7
PV,2022-45,309746,Platný dokument,"G01L1/24, G01L1/00, B61L1/06, B61L1/00","CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla, jeho uspořádání a způsob detekce této tlakové síly pomocí tohoto uspořádáníEN: A composite fibre optic sensor for detecting the pressure force generated by the passage of a wheel of a rail vehicle, its arrangement and the method of detecting this pressure force using this arrangement","PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2022-39629,36242,Platný dokument,"B61L1/06, G01L1/24",CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla a jeho uspořádáníEN: Composite fibre optic sensor for detecting the pressure force generated by the passage of a rolling stock wheel and its arrangement,"PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2022-45,309746,Platný dokument,"G01L1/24, G01L1/00, B61L1/06, B61L1/00","CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla, jeho uspořádání a způsob detekce této tlakové síly pomocí tohoto uspořádáníEN: A composite fibre optic sensor for detecting the pressure force generated by the passage of a wheel of a rail vehicle, its arrangement and the method of detecting this pressure force using this arrangement","PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2022-39629,36242,Platný dokument,"B61L1/06, G01L1/24",CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla a jeho uspořádáníEN: Composite fibre optic sensor for detecting the pressure force generated by the passage of a rolling stock wheel and its arrangement,"PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2013-28708,27458,Zaniklý dokument,"B01D39/14, B82Y30/00, A62B23/00",CS: Rovinný filtr s tvarově nestabilním filtračním materiálem obsahujícím vrstvu nanovlákenEN: Flat filter with shape-unstable filtering material containing a layer of nanofibers,"Technická univerzita v Liberci - Katedra strojírenské technologie
Oddělení tváření kovů a zpracování plastů, Liberec 1, Česká republika",11
PV,2014-692,306952,Zaniklý dokument,B23K37/04,CS: Pracoviště s univerzálním polohovacím svařovacím přípravkemEN: A workplace with a universal positioning welding tool,"Technická univerzita v Liberci, Liberec 1, Česká republika",11
PV,2014-484,305698,Zaniklý dokument,"C02F3/30, C02F3/10, C02F3/08",CS: Nosič biomasy pro bioreaktorEN: Biomass carrier for bioreactor,"Technická univerzita v Liberci, Liberec, Česká republika",11
PV,2013-34,304656,Platný dokument,"B32B3/06, B32B5/08, G10K11/172, E04B1/84, D04H1/70, B82B1/00",CS: Zvukově pohltivý prostředek obsahující alespoň jednu akustickou rezonanční membránu tvořenou vrstvou polymerních nanovlákenEN: Sound absorbing means containing at least one acoustic sounding board formed by a layer of polymer nanofibers,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2013-826,305677,Zrušený patent,"A62B18/02, A62B23/02, A62B7/00, A62B7/10",CS: Ochranná dýchací maska se společným nádechovým a výdechovým otvoremEN: Protective breathing mask with common aspiration and expiratory opening,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2013-28691,27784,Zaniklý dokument,"A62B7/10, A62B9/02, A62B18/02, A62B18/10",CS: Ochranná dýchací maska se společným nádechovým a výdechovým otvoremEN: Protective breathing mask with common aspiration and expiratory opening,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2013-28991,27506,Zaniklý dokument,B65H45/00,CS: Prostředek pro fixaci rozteče skladů materiáluEN: Means to fix span of material storerooms,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2015-37,305741,Platný dokument,"C04B18/14, C04B18/16, C04B28/26, C04B38/02, C04B111/28",CS: Žáruvzdorný geopolymerní kompozit s nízkou měrnou hmotností pro konstrukční prvky protipožárních zábranEN: Refractory geopolymeric composite with low bulk specific gravity for structural elements of fire cutoffs,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2015-785,306837,Platný dokument,"A62D3/00, A62D3/34, A62D3/11, A62D3/115, B82B3/00, B82Y30/00",CS: Způsob in-situ sanace horninového prostředí kontaminovaného škodlivými chemickými sloučeninamiEN: A method of in-situ remediation of a rock environment contaminated by harmful chemical compounds,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2017-768,307917,Platný dokument,"B01J39/20, B01J41/14, C08J5/22, C08J5/04, C08L25/08, C08L25/18, C08L33/10, B01D61/42, B01D61/06",CS: Iontovýměnná membránaEN: Ion exchange membrane,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2014-29687,27368,Zaniklý dokument,"B32B3/10, B32B3/12, B32B5/02, B32B7/04, B32B27/36, B32B27/40, B82B3/00, B32B7/05",CS: Textilní kompozitEN: Textile composite,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republikaSVITAP s.r.o., Svitavy, Předměstí, Česká republika",11
PV,2014-904,305737,Platný dokument,H01G5/40,CS: KondenzátorEN: Capacitor,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PV,2015-308,306038,Platný dokument,"H01F5/00, H01F21/00",CS: CívkaEN: Coil,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PV,2016-32,306402,Zaniklý dokument,"G01R15/18, G01R19/00, G01R19/04, H01F38/28, H01F38/30",CS: Proudový bočník indukčního typuEN: Induction type current shunt,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PUV,2013-28704,28017,Zaniklý dokument,A61N5/06,CS: Systém pro vícebodové sledování fyzické aktivityEN: System for multipoint monitoring of physical activity,"Univerzita Karlova v Praze, Praha 1, Česká republika",14
PV,2013-885,305371,Platný dokument,"A23J1/20, A23J3/08, A23C21/00, B01D15/08, C07K14/79",CS: Způsob separace syrovátkových proteinů z mléčného média a zařízení k provádění tohoto způsobuEN: Separation process of whey proteins from milk medium and apparatus for making the same,"Univerzita Palackého v Olomouci, Olomouc, Česká republika",15
PUV,2015-30902,28350,Zaniklý dokument,G06F3/0346,CS: Systém a sada pro přenos signálu z nerovného povrchu trojrozměrné struktury na detektor registrující elektrické impulsyEN: System and set for signal transmission from uneven surface of three-dimensional structure to a detector,"Univerzita Palackého v Olomouci, Olomouc, Česká republika",15
PUV,2015-30676,27982,Platný dokument,C05G1/00,"CS: Vícesložkové kapalné hnojivo, vhodné zejména pro výživu kukuřiceEN: Multicomponent liquid fertilizer, suitable particularly for maize feeding","Univerzita Palackého v Olomouci, Olomouc, Česká republikaFosfa a.s., Břeclav, Poštorná, Česká republika",15
PUV,2013-27805,25558,Zaniklý dokument,"G01N27/02, G01N27/07, G01N31/22",CS: Čidlo pro měření relativní vlhkosti v širokém rozsahu teplot a relativní vlhkostiEN: Sensor for measuring relative humidity within a broad range of temperatures and relative humidity,"Univerzita Pardubice, Pardubice",16
PUV,2013-27805,25558,Zaniklý dokument,"G01N27/02, G01N27/07, G01N31/22",CS: Čidlo pro měření relativní vlhkosti v širokém rozsahu teplot a relativní vlhkostiEN: Sensor for measuring relative humidity within a broad range of temperatures and relative humidity,"Česká republikaZápadočeská univerzita v Plzni, Plzeň, Jižní Předměstí, Česká republikaCentrum organické chemie s.r.o., Rybitví, Česká republika",26
PV,2014-367,305586,Platný dokument,"C07B63/02, C07C51/377, C07C51/42, C07C209/74, C07C209/86, C07C63/06, C07C211/46, C07C211/51",CS: Způsob redukční dehalogenace aromatických halogenderivátůEN: Process of reducing dehalogenation of aromatic halo derivatives,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PV,2014-814,305617,Platný dokument,"A01K15/02, C06B23/00","CS: Výcvikový materiál, zejména vhodný pro výcvik psů pro detekci výbušnin, a způsob jeho přípravyEN: Training material suitable especially for training of dogs for detection of explosives and process for preparing thereof","Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PV,2016-133,306988,Platný dokument,C07C67/03,CS: Způsob přípravy hydrokarbylesterů laktyl laktátů z laktidůEN: The method of preparing lactyl lactate hydrocarbyl esters from lactides,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32926,30116,Zaniklý dokument,"C07C229/24, C23F11/14",CS: Antikorozní sekvestrant a přípravek pro kapaliny do potrubních systémůEN: Corrosion resistant sequestrant and formulation for liquids in piping systems,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32934,30117,Zaniklý dokument,"C07C229/24, C11D1/10",CS: Deriváty kyseliny asparagové jako povrchově aktivní látkyEN: Aspartic acid derivatives functioning as surfactants,"Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2016-32970,30180,Zaniklý dokument,"C07C233/05, C07K5/06, C07D295/037, D06L1/12, C09K5/00, C10M133/16, C10M133/04","CS: Deriváty kyseliny asparagové jako detergenty, aditiva do kapalin pro obrábění kovů a aditiva do kapalných chladicích směsíEN: Aspartic acid derivatives as detergents, additives in liquid for metal cutting and additives in liquid cooling mixtures","Univerzita Pardubice, Pardubice, Polabiny, Česká republika",16
PUV,2013-28621,26729,Zaniklý dokument,"C09D11/02, C09K11/02, C08G16/02",CS: Polymerní inkoust pro materiálový tiskEN: Polymeric ink for material printing,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2013-28742,26261,Zaniklý dokument,H05H1/24,CS: Zařízení pro povrchovou úpravu plazmatem generovaným za normálního tlakuEN: Device for surface treatment by plasma generated under normal pressure,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
PUV,2013-28995,26393,Zaniklý dokument,"C08L81/04, C08L81/06, C08L77/00, C08L23/20, C08L31/06, C08J5/16, C09K3/00",CS: Polymerní směs pro nízkoadhezní aplikaceEN: Polymer mixture for low-adhesive applications,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika",17
